naselje,obcina,regija
ABITANTI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
ADAMOVO,VELIKE LAŠČE,OSREDNJESLOVENSKA
ADERGAS,CERKLJE NA GORENJSKEM,GORENJSKA
ADLEŠIČI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
ADRIJANCI,GORNJI PETROVCI,POMURSKA
AJBA,KANAL,GORIŠKA
AJBELJ,KOSTEL,JUGOVZHODNA SLOVENIJA
AJDOVŠČINA,AJDOVŠČINA,GORIŠKA
AJŠEVICA,NOVA GORICA,GORIŠKA
AMBROŽ POD KRVAVCEM,CERKLJE NA GORENJSKEM,GORENJSKA
AMBRUS,IVANČNA GORICA,OSREDNJESLOVENSKA
ANDOL,RIBNICA,JUGOVZHODNA SLOVENIJA
ANDRAŽ NAD POLZELO,POLZELA,SAVINJSKA
ANDREJCI,MORAVSKE TOPLICE,POMURSKA
ANDREJČJE,BLOKE,PRIMORSKO-NOTRANJSKA
ANDRENCI,CERKVENJAK,PODRAVSKA
ANHOVO,KANAL,GORIŠKA
ANKARAN/ANCARANO,ANKARAN/ANCARANO,OBALNO-KRAŠKA
ANOVEC,KRŠKO,POSAVSKA
ANŽE,KRŠKO,POSAVSKA
APAČE,APAČE,POMURSKA
APAČE,KIDRIČEVO,PODRAVSKA
APNENIK,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
APNENIK PRI BOŠTANJU,SEVNICA,POSAVSKA
APNENIK PRI VELIKEM TRNU,KRŠKO,POSAVSKA
APNO,CERKLJE NA GORENJSKEM,GORENJSKA
ARCLIN,VOJNIK,SAVINJSKA
ARDRO POD VELIKIM TRNOM,KRŠKO,POSAVSKA
ARDRO PRI RAKI,KRŠKO,POSAVSKA
ARJA VAS,ŽALEC,SAVINJSKA
ARMEŠKO,KRŠKO,POSAVSKA
ARNAČE,VELENJE,SAVINJSKA
ARNOVO SELO,BREŽICE,POSAVSKA
ARTIČE,BREŽICE,POSAVSKA
ARTIŽA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
ARTMANJA VAS,TREBNJE,JUGOVZHODNA SLOVENIJA
ARTO,SEVNICA,POSAVSKA
ARTVIŽE,HRPELJE - KOZINA,OBALNO-KRAŠKA
ARČELCA,TREBNJE,JUGOVZHODNA SLOVENIJA
AVBER,SEŽANA,OBALNO-KRAŠKA
AVGUŠTINE,KOSTANJEVICA NA KRKI,POSAVSKA
AVSA,KOBARID,GORIŠKA
AVČE,KANAL,GORIŠKA
AŽENSKI VRH,GORNJA RADGONA,POMURSKA
BABINCI,LJUTOMER,POMURSKA
BABIČI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BABNA BRDA,ŠMARJE PRI JELŠAH,SAVINJSKA
BABNA GORA,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
BABNA GORA,TREBNJE,JUGOVZHODNA SLOVENIJA
BABNA GORA,ŠMARJE PRI JELŠAH,SAVINJSKA
BABNA POLICA,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
BABNA REKA,ŠMARJE PRI JELŠAH,SAVINJSKA
BABNI VRT,KRANJ,GORENJSKA
BABNO POLJE,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
BAKOVCI,MURSKA SOBOTA,POMURSKA
BAKRC,IVANČNA GORICA,OSREDNJESLOVENSKA
BALKOVCI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BANE,VELIKE LAŠČE,OSREDNJESLOVENSKA
BANJA LOKA,KOSTEL,JUGOVZHODNA SLOVENIJA
BANJŠICE,NOVA GORICA,GORIŠKA
BANOVCI,VERŽEJ,POMURSKA
BANUTA/BANUTA,LENDAVA/LENDVA,POMURSKA
BARBANA,BRDA,GORIŠKA
BAREDI,IZOLA/ISOLA,OBALNO-KRAŠKA
BARISLOVCI,VIDEM,PODRAVSKA
BARIZONI/BARISONI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BARKA,DIVAČA,OBALNO-KRAŠKA
BATE,NOVA GORICA,GORIŠKA
BATUJE,AJDOVŠČINA,GORIŠKA
BAVDEK,VELIKE LAŠČE,OSREDNJESLOVENSKA
BAVŠICA,BOVEC,GORIŠKA
BAČ,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
BAČ PRI MATERIJI,HRPELJE - KOZINA,OBALNO-KRAŠKA
BAČA PRI MODREJU,TOLMIN,GORIŠKA
BAČA PRI PODBRDU,TOLMIN,GORIŠKA
BAČNE,GORENJA VAS - POLJANE,GORENJSKA
BAŠELJ,PREDDVOR,GORENJSKA
BEDENJ,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BEGUNJE NA GORENJSKEM,RADOVLJICA,GORENJSKA
BEGUNJE PRI CERKNICI,CERKNICA,PRIMORSKO-NOTRANJSKA
BEKA,HRPELJE - KOZINA,OBALNO-KRAŠKA
BELA,AJDOVŠČINA,GORIŠKA
BELA,KAMNIK,OSREDNJESLOVENSKA
BELA CERKEV,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
BELA PEČ,KAMNIK,OSREDNJESLOVENSKA
BELAVŠEK,VIDEM,PODRAVSKA
BELCA,KRANJSKA GORA,GORENJSKA
BELE VODE,ŠOŠTANJ,SAVINJSKA
BELI GRIČ,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
BELI POTOK PRI FRANKOLOVEM,VOJNIK,SAVINJSKA
BELI POTOK PRI LEMBERGU,ŠMARJE PRI JELŠAH,SAVINJSKA
BELICA,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
BELICA,OSILNICA,JUGOVZHODNA SLOVENIJA
BELO,BRDA,GORIŠKA
BELO,MEDVODE,OSREDNJESLOVENSKA
BELO,ŠMARJE PRI JELŠAH,SAVINJSKA
BELOVO,LAŠKO,SAVINJSKA
BELSKI VRH,ZAVRČ,PODRAVSKA
BELSKO,POSTOJNA,PRIMORSKO-NOTRANJSKA
BELTINCI,BELTINCI,POMURSKA
BELVEDUR,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BELČJI VRH,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BELŠAK,PREVALJE,KOROŠKA
BELŠINJA VAS,TREBNJE,JUGOVZHODNA SLOVENIJA
BENEDIKT,BENEDIKT,PODRAVSKA
BENETE,BLOKE,PRIMORSKO-NOTRANJSKA
BENEČIJA,TREBNJE,JUGOVZHODNA SLOVENIJA
BENICA,LENDAVA/LENDVA,POMURSKA
BEREČA VAS,METLIKA,JUGOVZHODNA SLOVENIJA
BERINJAK,VIDEM,PODRAVSKA
BERINJEK,LITIJA,ZASAVSKA
BERIČEVO,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
BERKOVCI,KRIŽEVCI,POMURSKA
BERKOVCI,MORAVSKE TOPLICE,POMURSKA
BERKOVSKI PRELOGI,KRIŽEVCI,POMURSKA
BERTOKI/BERTOCCHI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BESNICA,LJUBLJANA,OSREDNJESLOVENSKA
BETANJA,DIVAČA,OBALNO-KRAŠKA
BETONOVO,SODRAŽICA,JUGOVZHODNA SLOVENIJA
BEVKE,VRHNIKA,OSREDNJESLOVENSKA
BEVČE,VELENJE,SAVINJSKA
BEZENA,RUŠE,PODRAVSKA
BEZENŠKOVO BUKOVJE,VOJNIK,SAVINJSKA
BEZGARJI,OSILNICA,JUGOVZHODNA SLOVENIJA
BEZGOVICA,OSILNICA,JUGOVZHODNA SLOVENIJA
BEZGOVICA,ŠMARJE PRI JELŠAH,SAVINJSKA
BEZINA,SLOVENSKE KONJICE,SAVINJSKA
BEZNOVCI,PUCONCI,POMURSKA
BEZOVICA,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BEZOVICA,VOJNIK,SAVINJSKA
BEZOVJE NAD ZREČAMI,ZREČE,SAVINJSKA
BEZOVJE PRI ŠENTJURJU,ŠENTJUR,SAVINJSKA
BEZULJAK,CERKNICA,PRIMORSKO-NOTRANJSKA
BEČ,CERKNICA,PRIMORSKO-NOTRANJSKA
BEČAJE,CERKNICA,PRIMORSKO-NOTRANJSKA
BILJANA,BRDA,GORIŠKA
BILJE,MIREN - KOSTANJEVICA,GORIŠKA
BINKELJ,ŠKOFJA LOKA,GORENJSKA
BIRNA VAS,SEVNICA,POSAVSKA
BIRČNA VAS,NOVO MESTO,JUGOVZHODNA SLOVENIJA
BISERJANE,SVETI JURIJ OB ŠČAVNICI,POMURSKA
BISTRA,VRHNIKA,OSREDNJESLOVENSKA
BISTRA,ČRNA NA KOROŠKEM,KOROŠKA
BISTRICA,KOZJE,SAVINJSKA
BISTRICA,LITIJA,ZASAVSKA
BISTRICA,NAKLO,GORENJSKA
BISTRICA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BISTRICA,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
BISTRICA OB DRAVI,RUŠE,PODRAVSKA
BISTRICA OB SOTLI,BISTRICA OB SOTLI,POSAVSKA
BISTRICA PRI TRŽIČU,TRŽIČ,GORENJSKA
BISTRIČICA,KAMNIK,OSREDNJESLOVENSKA
BITIČE,LITIJA,ZASAVSKA
BITNJA VAS,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
BITNJE,BOHINJ,GORENJSKA
BIZELJSKA VAS,BREŽICE,POSAVSKA
BIZELJSKO,BREŽICE,POSAVSKA
BIČ,TREBNJE,JUGOVZHODNA SLOVENIJA
BIČJE,GROSUPLJE,OSREDNJESLOVENSKA
BIŠ,TRNOVSKA VAS,PODRAVSKA
BIŠEČKI VRH,TRNOVSKA VAS,PODRAVSKA
BIŠKA VAS,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
BIŠČE,DOMŽALE,OSREDNJESLOVENSKA
BLAGOVICA,LUKOVICA,OSREDNJESLOVENSKA
BLAGUŠ,SVETI JURIJ OB ŠČAVNICI,POMURSKA
BLANCA,SEVNICA,POSAVSKA
BLATE,RIBNICA,JUGOVZHODNA SLOVENIJA
BLATNA BREZOVICA,VRHNIKA,OSREDNJESLOVENSKA
BLATNI VRH,LAŠKO,SAVINJSKA
BLATNIK PRI ČRMOŠNJICAH,SEMIČ,JUGOVZHODNA SLOVENIJA
BLATNIK PRI ČRNOMLJU,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BLATNO,BREŽICE,POSAVSKA
BLATO,SLOVENSKE KONJICE,SAVINJSKA
BLATO,TREBNJE,JUGOVZHODNA SLOVENIJA
BLED,BLED,GORENJSKA
BLEJSKA DOBRAVA,JESENICE,GORENJSKA
BLEČJI VRH,GROSUPLJE,OSREDNJESLOVENSKA
BLODNIK,ZAGORJE OB SAVI,ZASAVSKA
BLOČICE,CERKNICA,PRIMORSKO-NOTRANJSKA
BLOŠKA POLICA,CERKNICA,PRIMORSKO-NOTRANJSKA
BOBEN,HRASTNIK,ZASAVSKA
BOBOVEK,KRANJ,GORENJSKA
BOBOVO PRI PONIKVI,ŠENTJUR,SAVINJSKA
BOBOVO PRI ŠMARJU,ŠMARJE PRI JELŠAH,SAVINJSKA
BODEŠČE,BLED,GORENJSKA
BODISLAVCI,LJUTOMER,POMURSKA
BODKOVCI,JURŠINCI,PODRAVSKA
BODONCI,PUCONCI,POMURSKA
BODOVLJE,ŠKOFJA LOKA,GORENJSKA
BODREŽ,KANAL,GORIŠKA
BODREŽ,ŠMARJE PRI JELŠAH,SAVINJSKA
BODRIŠNA VAS,ŠMARJE PRI JELŠAH,SAVINJSKA
BOGA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
BOGENŠPERK,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
BOGINJA VAS,METLIKA,JUGOVZHODNA SLOVENIJA
BOGNEČA VAS,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
BOGO,SEŽANA,OBALNO-KRAŠKA
BOGOJINA,MORAVSKE TOPLICE,POMURSKA
BOHARINA,ZREČE,SAVINJSKA
BOHINJSKA BELA,BLED,GORENJSKA
BOHINJSKA BISTRICA,BOHINJ,GORENJSKA
BOHINJSKA ČEŠNJICA,BOHINJ,GORENJSKA
BOHOVA,HOČE - SLIVNICA,PODRAVSKA
BOJANCI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
